OTUID	Group
ASV_36	KO5
ASV_39	KO5
ASV_173	WT3
ASV_27	WT4
ASV_29	KO1
ASV_47	KO5
ASV_90	KO6
ASV_16	OE1
ASV_42	OE3
ASV_1276	OE5
ASV_1276	WT2
ASV_26	KO2
ASV_173	KO3
ASV_67	KO3
ASV_969	KO3
ASV_33	KO4
ASV_20	KO5
ASV_102	KO5
ASV_30	KO6
ASV_42	KO6
ASV_30	OE2
ASV_23	OE5
ASV_26	OE5
ASV_93	OE5
ASV_14	OE6
ASV_27	WT1
ASV_173	WT2
ASV_1276	WT6
ASV_27	KO3
ASV_46	KO5
ASV_60	KO5
ASV_68	KO6
ASV_14	OE1
ASV_61	OE1
ASV_10	OE2
ASV_23	OE4
ASV_34	OE4
ASV_24	OE5
ASV_70	OE5
ASV_53	WT1
ASV_31	WT4
ASV_94	WT5
ASV_113	WT6
ASV_24	KO5
ASV_58	KO5
ASV_26	OE1
ASV_1276	OE2
ASV_52	OE3
ASV_1276	OE4
ASV_7	OE5
ASV_31	OE5
ASV_46	OE5
ASV_34	WT1
ASV_33	KO1
ASV_58	KO4
ASV_12	OE2
ASV_48	OE3
ASV_113	OE4
ASV_77	WT2
ASV_21	WT3
ASV_56	WT3
ASV_29	WT4
ASV_37	WT4
ASV_1276	KO1
ASV_47	KO3
ASV_93	KO5
ASV_173	KO6
ASV_70	KO6
ASV_28	OE1
ASV_29	OE1
ASV_41	WT2
ASV_33	WT3
ASV_26	KO1
ASV_55	KO5
ASV_855	OE3
ASV_27	OE5
ASV_35	OE5
ASV_44	WT1
ASV_14	KO2
ASV_68	KO4
ASV_211	KO4
ASV_20	KO6
ASV_79	KO6
ASV_23	OE2
ASV_21	OE3
ASV_30	OE4
ASV_36	OE4
ASV_173	OE5
ASV_78	WT4
ASV_39	WT6
ASV_50	WT6
ASV_20	KO1
ASV_22	KO1
ASV_27	KO1
ASV_45	KO1
ASV_38	KO3
ASV_47	KO4
ASV_35	OE1
ASV_46	OE1
ASV_11	OE6
ASV_24	WT1
ASV_27	WT2
ASV_456	WT5
ASV_29	KO2
ASV_41	KO2
ASV_46	KO3
ASV_13	KO5
ASV_34	KO6
ASV_113	OE2
ASV_112	OE4
ASV_33	WT1
ASV_76	WT3
ASV_46	WT5
ASV_48	WT6
ASV_92	KO1
ASV_34	OE5
ASV_52	OE5
ASV_17	OE6
ASV_31	WT1
ASV_39	WT3
ASV_41	WT4
ASV_36	KO1
ASV_49	KO1
ASV_29	KO3
ASV_34	KO3
ASV_48	OE1
ASV_20	OE2
ASV_31	OE2
ASV_16	OE6
ASV_29	OE6
ASV_51	WT1
ASV_36	WT4
ASV_47	WT4
ASV_1276	WT5
ASV_47	WT6
ASV_51	WT6
ASV_38	KO2
ASV_70	KO4
ASV_82	KO5
ASV_75	KO5
ASV_67	KO6
ASV_17	OE1
ASV_54	WT1
ASV_79	WT2
ASV_173	WT5
ASV_66	WT5
ASV_86	WT5
ASV_41	WT6
ASV_456	WT6
ASV_68	KO1
ASV_22	KO2
ASV_50	KO3
ASV_67	KO4
ASV_45	KO6
ASV_33	OE1
ASV_34	OE2
ASV_75	OE5
ASV_1276	WT1
ASV_173	WT1
ASV_13	WT4
ASV_50	WT4
ASV_36	WT5
ASV_45	WT5
ASV_68	WT6
ASV_16	KO5
ASV_63	OE1
ASV_46	OE2
ASV_92	OE3
ASV_21	OE4
ASV_83	OE4
ASV_39	OE5
ASV_43	OE5
ASV_48	OE5
ASV_23	WT1
ASV_42	WT5
ASV_30	KO3
ASV_59	KO4
ASV_91	KO4
ASV_27	KO5
ASV_107	KO6
ASV_31	OE4
ASV_62	OE5
ASV_22	OE6
ASV_48	WT2
ASV_91	WT2
ASV_51	WT5
ASV_33	WT6
ASV_169	KO2
ASV_55	KO6
ASV_288	KO6
ASV_68	WT2
ASV_106	WT2
ASV_26	WT3
ASV_1276	WT4
ASV_38	WT4
ASV_48	WT4
ASV_38	WT5
ASV_34	KO2
ASV_925	KO4
ASV_106	KO5
ASV_598	OE1
ASV_53	OE2
ASV_27	OE3
ASV_42	OE4
ASV_33	OE5
ASV_68	OE5
ASV_38	WT2
ASV_60	WT2
ASV_24	WT5
ASV_47	KO1
ASV_26	KO3
ASV_37	KO5
ASV_42	KO5
ASV_40	KO6
ASV_59	KO6
ASV_82	KO6
ASV_55	OE1
ASV_173	OE3
ASV_474	OE3
ASV_173	OE4
ASV_13	OE6
ASV_23	OE6
ASV_61	OE6
ASV_74	WT3
ASV_93	WT5
ASV_47	KO2
ASV_88	KO2
ASV_75	KO3
ASV_30	KO4
ASV_173	KO4
ASV_43	KO5
ASV_568	OE1
ASV_50	OE2
ASV_55	OE2
ASV_86	OE2
ASV_1276	OE3
ASV_70	OE4
ASV_48	OE4
