Metabolite	Tissue
Lmqp000427	FS4
pme2380	FS4
Wmzn000227	FS4
pme0193	FS4
pme0026	FS4
pme0014	FS4
Zmgn000173	FS4
Lmxn006423	FS4
pme0183	FS4
pme1109	FS4
mws0943	FS4
pme0513	FS4
mws0437	FS4
MWSslk102	FS4
mws0254	FS4
pme2165	FS4
pmf0174	FS4
Zmdp000917	FS4
pme0128	FS4
mws2125	FS4
pme1383	FS4
Zmzn000078	FS4
Lmbn003524	FS4
MA10039492	FS4
mws0242	FS4
Zmyn000155	FS4
MWSmce119	FS4
Hmfn000531	FS4
Lmbn001754	FS4
Zmgn001448	FS4
pmb3101	FS4
pme2596	FS4
pmb1754	FS4
MWS1816	FS4
Zmgn000447	FS4
mws0237	FS4
mws0736	FS4
mws5041	FS4
pme0122	FS4
Zmjp000182	FS4
pme3388	FS4
MWSslk080	FS4
Zmzp000145	FS4
pme0075	FS4
pme0278	FS4
mws0281	FS4
Zmyn000453	FS4
mws0277	FS4
mws0282	FS4
Lmyn003131	FS4
Zmyn000108	FS4
Zmpn000199	FS4
Hmcn000192	FS4
mws0863	FS4
pmb2507	FS4
MWS1900	FS4
MWSmce257	FS4
pme1228	FS4
pme2755	FS4
mws2608	FS4
mws4174	FS4
pme2773	FS4
MWS4296	FS4
mws5042	FS4
pma6455	FS4
Lmhp001670	FS4
MWS0552	FS4
pme2827	FS4
MWS2910	FS4
MWS2430	FS4
mws0359	FS4
pme3732	FS4
ML10180524	FS4
MWSmce295	FS4
mws0248	FS4
MWS5231	FS4
Lmhp002031	FS4
Lmrj002087	FS4
pme0243	FS4
mws0217	FS5
pme2292	FS5
pme1987	FS5
Lmgn000188	FS5
MWS1787	FS5
MWS2040	FS5
MWSmce461	FS5
mws4052	FS5
pme1841	FS5
MWSmce585	FS5
pme3033	FS5
pme3011	FS5
pme3017	FS5
ML10172161	FS5
mws0574	FS5
mws0206	FS5
mws0576	FS5
pme1975	FS5
pmb0484	FS5
pme0010	FS5
pme2433	FS5
mws0267	FS5
mws0255	FS5
pme2122	FS5
pme0257	FS5
pme0006	FS5
pme0271	FS5
mws0823	FS5
mws0256	FS5
pme3096	FS5
mws0230	FS5
mws0671	FS5
pmp001287	FS5
pma0134	FS5
pme0195	FS5
pmp001086	FS5
Rfmb319	FS5
ML10181668	FS5
Zmdp000376	FS5
mws0425	FS5
mws1587	FS5
pme0274	FS5
mws0258	FS5
mws0227	FS5
mws1167	FS5
mws0473	FS5
mws0001	FS5
Lmgn000160	FS5
pme2527	FS5
MWSmce609	FS5
MWS1882	FS5
mws0275	FS5
Lmbn000198	FS5
Zmdp000972	FS5
pme0040	FS5
pmb0374	FS5
HJKP000649	FS5
mws0889	FS5
pme0033	FS5
MWSmce584	FS5
pma0948	FS5
pma2987	FS5
pme3207	FS5
pme2879	FS5
Hmsp000364	FS5
MWS3020	FS5
Lmqp000427	FS5
pme2380	FS5
Wmzn000227	FS5
pme0193	FS5
pme0026	FS5
pme0014	FS5
Zmgn000173	FS5
Lmxn006423	FS5
pme0183	FS5
pme1109	FS5
MWS2984	FS5
mws0943	FS5
pme0513	FS5
mws0437	FS5
MWSslk102	FS5
mws0254	FS5
pme2165	FS5
pmf0174	FS5
Zmdp000917	FS5
pme0128	FS5
mws2125	FS5
pme1383	FS5
Zmzn000078	FS5
Lmbn003524	FS5
MA10039492	FS5
mws0242	FS5
Zmyn000155	FS5
MWSmce119	FS5
Hmfn000531	FS5
Lmbn001754	FS5
Zmgn001448	FS5
pmb3101	FS5
pme2596	FS5
pmb1754	FS5
MWS1816	FS5
Zmgn000447	FS5
mws0237	FS5
mws0736	FS5
mws5041	FS5
pme0122	FS5
Zmjp000182	FS5
pme3388	FS5
MWSslk080	FS5
Zmzp000145	FS5
pme0278	FS5
mws0281	FS5
Zmyn000453	FS5
mws0277	FS5
mws0282	FS5
Lmyn003131	FS5
Zmyn000108	FS5
Zmpn000199	FS5
Hmcn000192	FS5
mws0863	FS5
pmb2507	FS5
MWS1900	FS5
MWSmce257	FS5
pme1228	FS5
pme2755	FS5
mws2608	FS5
mws4174	FS5
pme2773	FS5
MWS4296	FS5
mws5042	FS5
pma6455	FS5
Lmhp001670	FS5
ML10180524	FS5
MWSmce295	FS5
mws0248	FS5
MWS5231	FS5
Lmhp002031	FS5
Lmrj002087	FS5
pme3961	FS5
pme1738	FS5
Rfmb087	FS5
pme2117	FS5
Zmgn000503	FS5
Rfmb320	FS5
MWS3270	FS5
Lmbn005487	FS5
pmb0532	FS5
