Target_gene	Biological_process_description
IMPTAPA2N51772_1	organonitrogen_compound_biosynthetic_process
IMPTAPA2N53218_1	organonitrogen_compound_biosynthetic_process
IMPTAPA2N7679_1	organonitrogen_compound_biosynthetic_process
IMPTAPA2N50783_1	organonitrogen_compound_biosynthetic_process
IMPTAPA2N26320_1	organonitrogen_compound_biosynthetic_process
IMPTAPA2N2818_1	organonitrogen_compound_biosynthetic_process
IMPTAPA2N47095_1	organonitrogen_compound_biosynthetic_process
IMPTAPA2N7868_1	organonitrogen_compound_biosynthetic_process
IMPTAPA2N16082_1	organonitrogen_compound_biosynthetic_process
IMPTAPA2N15675_1	organonitrogen_compound_biosynthetic_process
IMPTAPA2N16062_1	organonitrogen_compound_biosynthetic_process
IMPTAPA2N23057_1	organonitrogen_compound_biosynthetic_process
IMPTAPA2N2155_1	organonitrogen_compound_biosynthetic_process
IMPTAPA2N29508_1	organonitrogen_compound_biosynthetic_process
IMPTAPA2N43963_1	organonitrogen_compound_biosynthetic_process
IMPTAPA2N48433_1	organonitrogen_compound_biosynthetic_process
IMPTAPA2N44143_1	organonitrogen_compound_biosynthetic_process
IMPTAPA2N32437_1	organonitrogen_compound_biosynthetic_process
IMPTAPA2N130_1	organonitrogen_compound_biosynthetic_process
IMPTAPA2N39338_1	organonitrogen_compound_biosynthetic_process
IMPTAPA2N17757_1	multicellular_organismal_process
IMPTAPA2N38323_1	multicellular_organismal_process
IMPTAPA2N13473_1	multicellular_organismal_process
IMPTAPA2N21328_1	multicellular_organismal_process
IMPTAPA2N14728_1	multicellular_organismal_process
IMPTAPA2N51064_1	multicellular_organismal_process
IMPTAPA2N7277_1	multicellular_organismal_process
IMPTAPA2N13796_1	multicellular_organismal_process
IMPTAPA2N50237_1	multicellular_organismal_process
IMPTAPA2N49275_1	multicellular_organismal_process
IMPTAPA2N19692_1	multicellular_organismal_process
IMPTAPA2N49297_1	multicellular_organismal_process
IMPTAPA2N46780_1	multicellular_organismal_process
IMPTAPA2N4940_1	multicellular_organismal_process
IMPTAPA2N53809_1	multicellular_organismal_process
IMPTAPA2N43878_1	multicellular_organismal_process
IMPTAPA2N1523_1	multicellular_organismal_process
IMPTAPA2N29891_1	multicellular_organismal_process
IMPTAPA2N31674_1	multicellular_organismal_process
IMPTAPA2N40577_1	multicellular_organismal_process
IMPTAPA2N30614_1	multicellular_organismal_process
IMPTAPA2N13519_1	multicellular_organismal_process
IMPTAPA2N2144_1	multicellular_organismal_process
IMPTAPA2N46925_1	multicellular_organismal_process
IMPTAPA2N18086_1	multicellular_organismal_process
IMPTAPA2N11277_1	multicellular_organismal_process
IMPTAPA2N33800_1	multicellular_organismal_process
IMPTAPA2N22367_1	multicellular_organismal_process
IMPTAPA2N5394_1	multicellular_organismal_process
IMPTAPA2N48443_1	multicellular_organismal_process
IMPTAPA2N39338_1	multicellular_organismal_process
