Gene	Transcription_factor
NM_018872	H3K27ac
NM_130450	H3K4me1
NM_013506	H3K27ac
NM_009903	H3K27ac
NM_027897	Nanog
NM_008485	H3K27ac
NM_008049	H3K27ac
NM_183275	Nanog
NM_001142727	H3K27ac
NM_008709	Esrrb
NM_133218	H3K4me1
NM_001177776	Nanog
NM_173011	Med1
NM_011385	Esrrb
NM_013490	Esrrb
NM_022996	H3K27ac
NM_001159965	H3K4me1
NM_008452	Nanog
NM_021610	Esrrb
NM_001111313	H3K27ac
NM_001166584	Nanog
NM_001035533	Nanog
NM_177074	Nanog
NM_013514	Med1
NM_001099634	Nanog
NM_001033298	Nanog
NM_011401	Esrrb
NM_007905	Esrrb
NR_015485	H3K27ac
NM_172496	Med1
NR_035442	Esrrb
NM_172517	Nanog
NM_001017525	H3K27ac
NM_010207	Nanog
NM_177224	H3K27ac
NM_130450	Esrrb
NR_028060	Nanog
NR_027137	H3K4me1
NM_001161848	Med1
NM_009769	H3K4me1
NM_027539	H3K4me1
NM_017381	Nanog
NM_011857	Nanog
NM_027384	Nanog
NM_010162	Nanog
NM_001164363	Nanog
NM_027241	Med1
NM_001177776	H3K4me1
NM_010725	Nanog
NM_001081209	Esrrb
NM_001034097	Med1
NM_054043	Esrrb
NM_176952	Esrrb
NM_010139	Esrrb
NM_001145034	Nanog
NM_001080928	Med1
NR_036654	Nanog
NM_028576	Nanog
NM_183096	Nanog
NM_133777	Esrrb
NM_177005	Esrrb
NM_025274	Sox2
NM_023403	Esrrb
NM_001081336	H3K27ac
NM_009482	Med1
NM_181444	Nanog
NM_001081125	Med1
NM_012023	H3K4me1
NM_001010941	Esrrb
NM_026942	Esrrb
NM_021390	Sox2
NM_145823	H3K4me1
NM_133218	Esrrb
NM_001177776	Esrrb
NR_033139	Esrrb
NM_133752	H3K27ac
NM_130450	H3K27ac
NM_010094	Nanog
NM_177392	Med1
NM_023146	Sox2
NM_007413	Nanog
NM_134438	Esrrb
NM_028419	Nanog
NM_028016	H3K4me1
NR_033626	Esrrb
NM_021366	H3K4me1
NM_027456	Esrrb
NM_029083	H3K27ac
NM_011031	H3K27ac
NM_011535	Nanog
NM_027189	H3K27ac
NM_133833	Esrrb
NM_001040400	Med1
NM_178390	Med1
NM_013720	Nanog
NM_177392	Nanog
NM_001163480	Esrrb
NM_008129	Nanog
NM_015826	Med1
NR_029557	Med1
NM_181595	Esrrb
NM_001042488	Esrrb
NM_010499	Med1
NM_011934	Sox2
NM_001110827	Sox2
NM_146477	Med1
NM_007936	Nanog
NM_146061	Esrrb
NM_133919	H3K4me1
NM_028049	H3K27ac
NM_183154	H3K4me1
NM_178760	H3K27ac
NM_011443	Nanog
NM_026135	Esrrb
NM_030704	Esrrb
NM_007974	H3K27ac
NM_011439	H3K27ac
NM_025330	H3K27ac
NM_001042660	Esrrb
NM_008679	H3K4me1
NM_172407	Nanog
NM_201366	H3K27ac
NM_133892	Nanog
NM_007489	H3K27ac
NM_009366	Esrrb
NM_001113545	Nanog
NM_021327	H3K4me1
NM_001159517	H3K27ac
NM_025882	Nanog
NM_013633	H3K27ac
NM_008377	Sox2
NM_001080928	H3K27ac
NM_028003	Nanog
NM_025325	H3K27ac
NM_007657	H3K4me1
NM_001033412	Nanog
NM_080555	Esrrb
NM_007431	Esrrb
NM_009574	H3K27ac
NM_172607	H3K4me1
NM_001166408	H3K27ac
NM_008709	Esrrb
NM_001159965	Nanog
NM_007836	H3K27ac
NM_009332	Nanog
NM_010849	Nanog
NR_035442	Esrrb
NM_007974	Med1
NM_178606	Esrrb
NM_026942	Sox2
NM_001033306	H3K27ac
NM_172424	Nanog
NM_027241	Esrrb
NM_009328	Esrrb
NM_175750	Esrrb
NM_178202	Nanog
NM_021286	Nanog
NM_029083	Nanog
NM_178614	H3K27ac
NM_001113423	Nanog
NM_028133	Nanog
NM_026268	Esrrb
NM_008321	Nanog
NM_145823	Esrrb
NM_010638	Med1
NM_010207	Esrrb
NM_007930	H3K27ac
NM_023403	H3K4me1
NM_001081286	H3K4me1
NM_001113386	Nanog
NM_010838	H3K4me1
NM_009600	H3K4me1
NM_021878	Nanog
NM_008709	Nanog
NM_015826	Nanog
NM_029660	Esrrb
NM_026520	Nanog
NM_010769	Nanog
NR_036654	H3K27ac
NM_001177650	H3K4me1
NM_007905	Sox2
NM_001159517	Esrrb
NM_201366	H3K27ac
NM_172424	H3K4me1
NM_133766	Nanog
NM_024452	H3K27ac
NM_025705	Esrrb
NM_026135	Med1
NM_008453	Med1
NM_028044	Esrrb
NM_178803	Esrrb
NM_133919	H3K27ac
NM_033523	Esrrb
NM_009929	H3K27ac
NM_008057	Nanog
NM_009776	Nanog
NM_001110827	Med1
NM_146477	Nanog
NM_009769	H3K27ac
NM_007731	Esrrb
NM_015818	H3K4me1
NM_011348	Nanog
NM_054043	Med1
NM_007905	Nanog
NM_008562	H3K4me1
NM_010135	Nanog
NM_025448	Sox2
NR_004443	Med1
NM_010228	H3K4me1
NM_029455	Sox2
NM_027470	Esrrb
NM_001165951	H3K4me1
NM_001040400	H3K27ac
NM_010303	H3K27ac
NM_010838	Med1
NR_033689	Med1
NM_001142727	Esrrb
NM_001195003	Nanog
NM_133777	H3K27ac
NM_001081139	H3K27ac
NM_001159517	H3K4me1
NM_011265	Nanog
NM_145836	Med1
NM_172650	H3K27ac
NM_145448	Nanog
NM_011897	H3K27ac
NM_001163501	H3K27ac
NM_172671	Sox2
NM_001164077	H3K27ac
NM_178764	Esrrb
NM_026574	Esrrb
NM_172662	Sox2
NM_178114	Nanog
NM_026602	Sox2
NM_001081209	Klf4
NM_010638	Sox2
NM_028709	Nanog
NM_001176528	Esrrb
NM_001042660	Med1
NM_054043	H3K4me1
NM_010422	H3K27ac
NM_001159401	Med1
NM_011400	H3K27ac
NM_025286	Nanog
NM_007930	Nanog
NM_134438	Med1
NM_021480	Nanog
NM_015818	H3K27ac
NM_018810	Med1
NM_178606	Nanog
NM_008049	H3K27ac
NM_201395	Med1
NR_035442	H3K27ac
NM_001177650	Nanog
NM_026268	H3K27ac
NM_017479	Nanog
NM_007657	Esrrb
NM_009823	H3K4me1
NM_023755	Med1
NM_001080963	Esrrb
NM_031249	Nanog
NM_001164155	Esrrb
NM_007632	H3K27ac
NM_010838	Esrrb
NR_004443	Esrrb
NM_009482	H3K27ac
NM_022655	Nanog
NM_023716	Esrrb
NM_001163640	H3K4me1
NM_001003918	Nanog
NM_001146000	Esrrb
NM_001040400	Esrrb
NM_017479	Esrrb
NM_172607	H3K27ac
NM_027384	H3K4me1
NM_028049	Nanog
NM_028908	Esrrb
NM_001080979	H3K27ac
NM_021610	Med1
NM_009786	H3K27ac
NM_010731	Esrrb
NM_025812	H3K27ac
NM_021542	Sox2
NM_029083	H3K4me1
NM_027288	Nanog
NR_003188	Nanog
NM_133360	Esrrb
NM_019739	Esrrb
NM_007974	Esrrb
NM_021610	H3K4me1
NM_013659	H3K4me1
NM_153125	H3K27ac
NM_001081144	H3K4me1
NR_027059	H3K4me1
NM_176952	H3K4me1
NM_010202	H3K4me1
NM_027694	Esrrb
NM_029081	Med1
NM_021394	H3K27ac
NM_001081417	H3K4me1
NM_177102	Esrrb
NM_026864	Esrrb
NM_011443	Sox2
NM_172607	Nanog
NR_029384	Nanog
NM_133839	Nanog
NM_008342	Med1
NM_017381	Sox2
NM_028082	Sox2
NM_201366	Esrrb
NM_175114	H3K4me1
NM_009469	H3K27ac
NM_021391	H3K27ac
NM_008679	Esrrb
NM_172872	Med1
NM_013506	Med1
NM_001166584	Esrrb
NM_001161848	Nanog
NM_001128093	Nanog
NR_029775	Nanog
NM_008452	Esrrb
NM_021366	Med1
NM_021480	H3K4me1
NM_007646	H3K27ac
NR_003368	Esrrb
NM_013900	Esrrb
NM_009366	H3K4me1
NM_019739	H3K27ac
NM_145570	Nanog
NM_010907	H3K4me1
NM_001033759	Med1
NM_009574	Nanog
NM_001159769	Esrrb
NR_015485	H3K4me1
NM_174996	Esrrb
NM_001113386	Sox2
NM_011934	H3K4me1
NM_145402	Esrrb
NM_021451	H3K4me1
NM_011535	Esrrb
NM_025316	Nanog
NM_001115075	Nanog
NM_007564	Sox2
NM_198422	Nanog
NM_008957	H3K4me1
NM_009328	Med1
NM_001198566	Sox2
NM_133962	H3K27ac
NM_178656	H3K4me1
NM_009721	H3K27ac
NM_021390	Klf4
NM_025285	Esrrb
NM_021542	H3K27ac
NM_007936	H3K27ac
NM_134156	H3K27ac
NM_001159603	Med1
NM_029317	H3K27ac
NM_001161848	H3K4me1
NM_019490	Nanog
NM_029587	Med1
NM_133805	Esrrb
NM_009769	Med1
NM_001025192	Nanog
NM_001042727	H3K27ac
NM_021878	Nanog
NM_001101430	Nanog
NM_008452	H3K27ac
NR_035442	Nanog
NM_172963	H3K4me1
NM_008652	H3K4me1
NM_198000	Esrrb
NM_054050	Esrrb
NM_030690	Esrrb
NM_172765	Nanog
NM_007564	Nanog
NM_178727	Esrrb
NR_036654	H3K4me1
NM_172496	H3K4me1
NM_139303	Nanog
NM_153079	Esrrb
NM_026212	Esrrb
NM_022996	H3K4me1
NM_173447	Nanog
NM_001033217	Nanog
NM_019733	H3K27ac
NM_007431	Med1
NR_027858	Nanog
NM_011535	Med1
NM_011897	Med1
NM_011263	H3K4me1
NM_001164074	H3K27ac
NM_011897	Esrrb
NM_011439	Sox2
NM_011809	Nanog
NM_001178049	H3K27ac
NM_010139	Klf4
NM_001033266	Esrrb
NM_029023	Esrrb
NR_015532	Esrrb
NM_008709	H3K27ac
NM_028816	H3K4me1
NM_178803	Nanog
NM_009332	Sox2
NM_007958	Nanog
NM_024279	H3K27ac
NM_011682	H3K4me1
NM_148922	Nanog
NM_144531	Med1
NM_145364	Nanog
NM_177392	H3K4me1
NM_130796	H3K27ac
NM_010560	Nanog
NM_001048057	Esrrb
NM_023755	H3K4me1
NM_153062	H3K27ac
NM_130450	Med1
NM_008162	Esrrb
NM_001101430	H3K4me1
NM_028921	Nanog
NM_175155	Nanog
NM_146051	H3K27ac
NM_001042503	Med1
NR_030710	Nanog
NM_026135	Klf4
NM_001081286	Sox2
NM_001033759	H3K27ac
NM_009320	Esrrb
NM_001159517	Med1
NM_027726	Esrrb
NM_009482	Esrrb
NM_201366	Med1
NM_001081139	Med1
NM_023755	Nanog
NM_015802	Nanog
NM_001103179	Esrrb
NM_023598	Sox2
NM_027539	Nanog
NM_001164074	Nanog
NM_012023	Med1
NR_002445	Sox2
NR_003718	Nanog
NM_009642	Esrrb
NM_172524	H3K27ac
NM_017479	Med1
NM_172872	Esrrb
NM_007657	Med1
NM_018805	H3K27ac
